Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_006_FMS_SMART_Logout feature,Chrome 115.0.0.0,,,2023-08-17 15:48:52,2023-08-17 15:49:55,1m - 3.210s,PASSED
,,,,,,,
Test Cases/TC_010_FMS_Smart_Verify Logout feature,Chrome 115.0.0.0,,,2023-08-17 15:48:52,2023-08-17 15:49:55,1m - 2.824s,PASSED
"callTestCase(findTestCase(""TC_007_FMS_Smart_Verify Login feature""), [""url"":""https://ioclfmssmart.tmsitrimble.in/FMSSmartApp/#/login"", ""username"":""11038331"", ""password"":""Nr@747900""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-17 15:48:53,2023-08-17 15:49:15,22.696s,PASSED
"click(findTestObject(""OB_008_Fms smart Lgout and Feedback/Logout And Feedback/Logout1""))",Chrome 115.0.0.0,,,2023-08-17 15:49:15,2023-08-17 15:49:16,0.536s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-17 15:49:16,2023-08-17 15:49:19,3.012s,PASSED
"click(findTestObject(""OB_008_Fms smart Lgout and Feedback/Page_FMS Smart/Lgout22""))",Chrome 115.0.0.0,,,2023-08-17 15:49:19,2023-08-17 15:49:51,31.859s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-17 15:49:51,2023-08-17 15:49:54,3.015s,PASSED
"click(findTestObject(""OB_008_Fms smart Lgout and Feedback/logout3/logou3""))",Chrome 115.0.0.0,,,2023-08-17 15:49:54,2023-08-17 15:49:54,0.543s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-17 15:49:54,2023-08-17 15:49:55,0.685s,PASSED
